site,altnames,sponsor,district,is_school,schoolcode,districtcode
MERIDIAN ELEMENTARY,MERIDIAN ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037717,67991
MERIT ACADEMY,MERIT ACADEMY,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,128793,68130
MESA VERDE MIDDLE,MESA VERDE MIDDLE,POWAY UNIFIED,POWAY UNIFIED,TRUE,6111306,68296
METRO COMMUNITY SCHOOLS,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
METRO TECH ACADEMY BLENDED COMMUNITY SCHOOL,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
MID CITY 1 AND 2-ANNEX,,SAN DIEGO UNIFIED,,TRUE,,
METHODSCHOOLS,METHODSCHOOLS,,DEHESA ELEMENTARY,TRUE,129221,68049
MIDLAND ELEMENTARY,MIDLAND ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6038996,68296
MIKE CHOATE EARLY CHILDHOOD EDUCATION CENTER,,FALLBROOK UNION ELEMENTARY,,TRUE,,
MILLENNIAL TECH MIDDLE,MILLENNIAL TECH MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,117325,68338
MILLER ELEMENTARY,MILLER ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6066997,68098
MILLER ELEMENTARY,MILLER ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6093256,68338
MIRA MESA COMMUNITY SCHOOL,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
MIRA MESA HIGH,MIRA MESA HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3730181,68338
MIRAMAR RANCH ELEMENTARY,MIRAMAR RANCH ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6069116,68338
MISSION BAY HIGH,MISSION BAY HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3734431,68338
MISSION ELEMENTARY,MISSION ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6038871,73569
MISSION ESTANCIA ELEMENTARY,MISSION ESTANCIA ELEMENTARY,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE,6108534,68080
MISSION HILLS HIGH,MISSION HILLS HIGH,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,105726,73791
MISSION MEADOWS ELEMENTARY,MISSION MEADOWS ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6110407,68452
MISSION MIDDLE,MISSION MIDDLE,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6038210,68098
MISSION VALLEY LC - AUDEO-ANNEX,,SAN DIEGO UNIFIED,,FALSE,,
MISSION VISTA HIGH,MISSION VISTA HIGH,VISTA UNIFIED,VISTA UNIFIED,TRUE,118430,68452
MONARCH,MONARCH,,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,120493,10371
MONARCH ELEMENTARY COMMUNITY DAY,,SAN DIEGO UNIFIED,,TRUE,,
MONTE VISTA ELEMENTARY,MONTE VISTA ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6040638,68452
MONTE VISTA HIGH,MONTE VISTA HIGH,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,3734548,68130
MONTECITO HIGH (CONTINUATION),MONTECITO HIGH (CONTINUATION),RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,TRUE,3735958,68304
MONTEREY HEIGHTS ELEMENTARY,MONTEREY HEIGHTS ELEMENTARY,LEMON GROVE,LEMON GROVE,TRUE,6038624,68205
MONTEREY RIDGE ELEMENTARY,MONTEREY RIDGE ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,111187,68296
MONTEZUMA CDC,,SAN DIEGO UNIFIED,,FALSE,,
MONTGOMERY (JOHN J.) ELEMENTARY,MONTGOMERY (JOHN J.) ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037915,68023
MONTGOMERY MIDDLE,MONTGOMERY MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6059679,68338
MONTGOMERY MIDDLE,MONTGOMERY MIDDLE,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6093207,67991
MONTGOMERY MIDDLE,MONTGOMERY MIDDLE,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,6070890,68411
MONTGOMERY SENIOR HIGH,"MONTGOMERY SENIOR HIGH, MONTGOMERY ADULT",SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3738234,68411
MORNING CREEK ELEMENTARY,MORNING CREEK ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6109318,68296
MORSE HIGH,MORSE HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3734654,68338
MOSAICA ONLINE ACADEMY OF SOUTHERN CALIFORNIA,MOSAICA ONLINE ACADEMY OF SOUTHERN CALIFORNIA,,DEHESA ELEMENTARY,TRUE,131169,68049
MOUNTAIN REGION COURT (JUVENILE RANCH FACILITY),,SAN DIEGO CO PROBATION DEPT,,FALSE,,
MOUNT MIGUEL HIGH,MOUNT MIGUEL HIGH,,GROSSMONT UNION HIGH,TRUE,3734761,68130
MOUNTAIN EMPIRE HIGH,MOUNTAIN EMPIRE HIGH,,MOUNTAIN EMPIRE UNIFIED,TRUE,3734878,68213
MOUNTAIN VALLEY ACADEMY,MOUNTAIN VALLEY ACADEMY,,RAMONA CITY UNIFIED,TRUE,131250,68304
MOUNTAIN VIEW LEARNING ACADEMY,MOUNTAIN VIEW LEARNING ACADEMY,,ALPINE UNION ELEMENTARY,TRUE,6109953,67967
MT. CARMEL HIGH,MT. CARMEL HIGH,POWAY UNIFIED,POWAY UNIFIED,TRUE,3730074,68296
MT. EVEREST ACADEMY,MT. EVEREST ACADEMY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3730751,68338
MT. VERNON ELEMENTARY,"MT. VERNON ELEMENTARY, MT. VERNON",LEMON GROVE,LEMON GROVE,TRUE,6038632,68205
MT. WOODSON ELEMENTARY,MT. WOODSON ELEMENTARY,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,TRUE,6107999,68304
MUELLER CHARTER (ROBERT L.),MUELLER CHARTER (ROBERT L.),CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037980,68023
MUIRLANDS MIDDLE,MUIRLANDS MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6059687,68338
MURAOKA (SABURO) ELEMENTARY,"MURAOKA (SABURO) ELEMENTARY, SABURO MURAOKA",CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,135277,68023
MURDOCK ELEMENTARY,MURDOCK ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6070833,68197
MURRAY MANOR ELEMENTARY,MURRAY MANOR ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038533,68197
MUSEUM,MUSEUM,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6115570,68338
NARANCA ELEMENTARY,NARANCA ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037725,67991
NATIONAL CITY MIDDLE,NATIONAL CITY MIDDLE,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,6059794,68411
NATIONAL UNIVERSITY ACADEMY,NATIONAL UNIVERSITY ACADEMY,,LAKESIDE UNION ELEMENTARY,TRUE,118323,68189
NATIONAL UNIVERSITY ACADEMY 1001 STEAM,NATIONAL UNIVERSITY ACADEMY 1001 STEAM,,SAN DIEGO UNIFIED,TRUE,137802,68338
NATIONAL UNIVERSITY ACADEMY DUAL LANGUAGE INSTITUTE,NATIONAL UNIVERSITY ACADEMY DUAL LANGUAGE INSTITUTE,,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,138594,10371
NATIONAL UNIVERSITY ACADEMY SPARROW,NATIONAL UNIVERSITY ACADEMY SPARROW,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,136408,68197
NATIVITY PREP ACADEMY,,"NATIVITY PREP ACADEMY, INC.",,TRUE,,
NESTOR LANGUAGE ACADEMY CHARTER,NESTOR LANGUAGE ACADEMY CHARTER,SOUTH BAY UNION,SOUTH BAY UNION,TRUE,6040513,68395
NICHOLS ELEMENTARY,NICHOLS ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6119713,73569
NICOLAYSEN COMMUNITY DAY,NICOLAYSEN COMMUNITY DAY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,111526,68098
"NEW ALTERNATIVE, INC.",,NEW ALTERNATIVES,,,,
NEW ALTERNATIVES #17,,NEW ALTERNATIVES,,,,
NEW ALTERNATIVES INC. #18,,NEW ALTERNATIVES,,,,
"NEW ALTERNATIVES, #15",,NEW ALTERNATIVES,,,,
"NEW ALTERNATIVES, INC #5",,NEW ALTERNATIVES,,,,
"NEW ALTERNATIVES, INC.",,NEW ALTERNATIVES,,,,
"NEW ALTERNATIVES, INC. #16",,NEW ALTERNATIVES,,,,
NEW HAVEN SCHOOL,,NEW HAVEN YOUTH AND FAMILY SERVICES,,,,
NEW HAVEN YOUTH AND FAMILY SERVICES,,NEW HAVEN YOUTH AND FAMILY SERVICES,,FALSE,,
NEW HAVEN-CONNIE GAYLE,,NEW HAVEN YOUTH AND FAMILY SERVICES,,FALSE,,
NEW HAVEN-DEBRA LANE,,NEW HAVEN YOUTH AND FAMILY SERVICES,,FALSE,,
NEW HAVEN-DURIAN HOUSE,,NEW HAVEN YOUTH AND FAMILY SERVICES,,FALSE,,
NEW HAVEN-LUPE HOUSE,,NEW HAVEN YOUTH AND FAMILY SERVICES,,FALSE,,
NEW HAVEN-MEADOWLAKE,,NEW HAVEN YOUTH AND FAMILY SERVICES,,FALSE,,
NEW HAVEN-PINA LANE,,NEW HAVEN YOUTH AND FAMILY SERVICES,,FALSE,,
NEW HAVEN-TEEN HOUSE,,NEW HAVEN YOUTH AND FAMILY SERVICES,,FALSE,,
NEW HAVEN-THOMSON HOUSE,,NEW HAVEN YOUTH AND FAMILY SERVICES,,FALSE,,
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,CHULA VISTA ELEMENTARY,TRUE,1,68023
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,CORONADO UNIFIED,TRUE,1,68031
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,VISTA UNIFIED,TRUE,1,68452
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,CARDIFF ELEMENTARY,TRUE,1,68007
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,SWEETWATER UNION HIGH,TRUE,1,68411
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,DEL MAR UNION ELEMENTARY,TRUE,1,68056
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,LEMON GROVE,TRUE,1,68205
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,RAMONA CITY UNIFIED,TRUE,1,68304
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,SAN MARCOS UNIFIED,TRUE,1,73791
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,GROSSMONT UNION HIGH,TRUE,1,68130
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,NATIONAL ELEMENTARY,TRUE,1,68221
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,FALLBROOK UNION HIGH,TRUE,1,68122
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,CAJON VALLEY UNION,TRUE,1,67991
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,VALLEY CENTER-PAUMA UNIFIED,TRUE,1,75614
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,BONSALL UNIFIED,TRUE,1,76851
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,CARLSBAD UNIFIED,TRUE,1,73551
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,SOUTH BAY UNION,TRUE,1,68395
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,SAN YSIDRO ELEMENTARY,TRUE,1,68379
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,FALLBROOK UNION ELEMENTARY,TRUE,1,68114
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,MOUNTAIN EMPIRE UNIFIED,TRUE,1,68213
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,POWAY UNIFIED,TRUE,1,68296
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,ENCINITAS UNION ELEMENTARY,TRUE,1,68080
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,JAMUL-DULZURA UNION ELEMENTARY,TRUE,1,68155
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,JULIAN UNION ELEMENTARY,TRUE,1,68163
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,ESCONDIDO UNION HIGH,TRUE,1,68106
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,SAN DIEGO UNIFIED,TRUE,1,68338
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,SAN DIEGUITO UNION HIGH,TRUE,1,68346
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,SANTEE,TRUE,1,68361
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,LAKESIDE UNION ELEMENTARY,TRUE,1,68189
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,JULIAN UNION HIGH,TRUE,1,68171
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,LA MESA-SPRING VALLEY,TRUE,1,68197
"NONPUBLIC, NONSECTARIAN SCHOOLS","NONPUBLIC, NONSECTARIAN SCHOOLS",,OCEANSIDE UNIFIED,TRUE,1,73569
NORMAL HEIGHTS ELEMENTARY,NORMAL HEIGHTS ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,111864,68338
NORMAN L. SULLIVAN MIDDLE,NORMAN L. SULLIVAN MIDDLE,"BONSALL UNION ELEMENTARY, BONSALL UNIFIED",BONSALL UNIFIED,TRUE,6108567,76851
NORTH BROADWAY ELEMENTARY,NORTH BROADWAY ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6102750,68098
NORTH COAST PROJECT OZ,,YMCA OF SAN DIEGO COUNTY,,FALSE,,
NORTH COAST PROJECT OZ,,YMCA OF SAN DIEGO COUNTY,,FALSE,,
NORTH COUNTY TECH & SCIENCE ACADEMY (NCTSA),,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
NORTH PARK 1 2 AND 3-ANNEX,,SAN DIEGO UNIFIED,,TRUE,,
NORTH REGION COMMUNITY DAY SCHOOLS,,SAN MARCOS UNIFIED,,TRUE,,
NORTH COAST ALTERNATIVE HIGH,NORTH COAST ALTERNATIVE HIGH,,SAN DIEGUITO UNION HIGH,TRUE,3730769,68346
NORTH COASTAL CONSORTIUM SCHOOLS,NORTH COASTAL CONSORTIUM SCHOOLS,,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,1996545,10371
NORTH COUNTY TRADE TECH HIGH,NORTH COUNTY TRADE TECH HIGH,NORTH COUNTY TRADE TECH HIGH SCHOOL,VISTA UNIFIED,TRUE,114264,68452
NORTHGATE-ANNEX,,SAN DIEGO UNIFIED,,FALSE,,
NORTH TERRACE ELEMENTARY,NORTH TERRACE ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6038889,73569
NORTHMONT ELEMENTARY,NORTHMONT ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038541,68197
NYE ELEMENTARY,NYE ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6112478,68338
OAK CREST MIDDLE,OAK CREST MIDDLE,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,TRUE,6059737,68346
OAK GLEN HIGH,OAK GLEN HIGH,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,TRUE,3731312,75614
OAK GROVE MIDDLE,OAK GROVE MIDDLE,JAMUL-DULZURA UNION ELEMENTARY,JAMUL-DULZURA UNION ELEMENTARY,TRUE,6097182,68155
OAK HILL ELEMENTARY,OAK HILL ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6038244,68098
OAK PARK ELEMENTARY,OAK PARK ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6040026,68338
OAK VALLEY MIDDLE,OAK VALLEY MIDDLE,POWAY UNIFIED,POWAY UNIFIED,TRUE,108332,68296
OAKHILL PRESCHOOL,,ESCONDIDO UNION,,TRUE,,
OASIS HIGH (ALTERNATIVE),OASIS HIGH (ALTERNATIVE),FALLBROOK UNION HIGH,FALLBROOK UNION HIGH,TRUE,3730967,68122
OCEAN AIR,OCEAN AIR,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,TRUE,114686,68056
OCEAN BEACH ELEMENTARY,OCEAN BEACH ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6040034,68338
OCEAN KNOLL ELEMENTARY,OCEAN KNOLL ELEMENTARY,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE,6038152,68080
OCEAN SHORES HIGH (CONTINUATION),OCEAN SHORES HIGH (CONTINUATION),OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,3739026,73569
OCEAN VIEW HILLS,OCEAN VIEW HILLS,SAN YSIDRO ELEMENTARY,SAN YSIDRO ELEMENTARY,TRUE,6119341,68379
OCEANSIDE HIGH,OCEANSIDE HIGH,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,3735206,73569
OLD TOWN ACADEMY K-8 CHARTER,OLD TOWN ACADEMY K-8 CHARTER,,SAN DIEGO UNIFIED,TRUE,123778,68338
OLIVE ELEMENTARY,OLIVE ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6040646,68452
OLIVE PEIRCE MIDDLE,OLIVE PEIRCE MIDDLE,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,TRUE,6105563,68304
OLIVENHAIN PIONEER ELEMENTARY,OLIVENHAIN PIONEER ELEMENTARY,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE,6112445,68080
OLIVEWOOD,OLIVEWOOD,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,TRUE,6038806,68221
OLYMPIAN HIGH,OLYMPIAN HIGH,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,111831,68411
OLYMPIC VIEW ELEMENTARY,OLYMPIC VIEW ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6113021,68023
ONEONTA ELEMENTARY,ONEONTA ELEMENTARY,SOUTH BAY UNION,SOUTH BAY UNION,TRUE,6040521,68395
OPTIONS SECONDARY,OPTIONS SECONDARY,,SWEETWATER UNION HIGH,TRUE,3731155,68411
ORANGE GLEN ELEMENTARY,ORANGE GLEN ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6038947,68098
ORANGE GLEN HIGH,ORANGE GLEN HIGH,ESCONDIDO UNION HIGH,ESCONDIDO UNION HIGH,TRUE,3735313,68106
OTAY ELEMENTARY,OTAY ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6095038,68023
OTAY RANCH SENIOR HIGH,OTAY RANCH SENIOR HIGH,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3731627,68411
OXFORD PREPARATORY ACADEMY,OXFORD PREPARATORY ACADEMY,,BORREGO SPRINGS UNIFIED,TRUE,128579,67983
OUR LADY OF THE SACRED HEART,,OUR LADY SACRED HEART SCHOOL,,TRUE,,
OZ-SAN DIEGO,,YMCA OF SAN DIEGO COUNTY,,FALSE,,
PACIFIC AMERICAN ACADEMY,,SAN DIEGO UNIFIED,,TRUE,,
PACIFIC BEACH ELEMENTARY,PACIFIC BEACH ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6040042,68338
PACIFIC BEACH MIDDLE,PACIFIC BEACH MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6059695,68338
PACIFIC BEACH LC - AUDEO-ANNEX,,SAN DIEGO UNIFIED,,TRUE,,
PACIFIC BEACH MIDDLE,,SAN DIEGO UNIFIED,,TRUE,,
PACIFIC COAST ACADEMY,PACIFIC COAST ACADEMY,,DEHESA ELEMENTARY,TRUE,136416,68049
PACIFIC RIM ELEMENTARY,PACIFIC RIM ELEMENTARY,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,6116578,73551
PACIFIC SPRINGS CHARTER,PACIFIC SPRINGS CHARTER,,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,138016,10371
PACIFIC TRAILS MIDDLE,PACIFIC TRAILS MIDDLE,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,TRUE,131649,68346
PACIFIC VIEW CHARTER,PACIFIC VIEW CHARTER,,OCEANSIDE UNIFIED,TRUE,3731221,73569
PACIFIC VIEW LEADERSHIP ELEMENTARY,PACIFIC VIEW LEADERSHIP ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039861,68338
PAINTED ROCK ELEMENTARY,PAINTED ROCK ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6085088,68296
PALM ACADEMY FOR LEARNING,PALM ACADEMY FOR LEARNING,,CORONADO UNIFIED,TRUE,3731122,68031
PALM CANYON CONTINUATION HIGH,PALM CANYON CONTINUATION HIGH,,BORREGO SPRINGS UNIFIED,TRUE,3731098,67983
PALMER WAY,PALMER WAY,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,TRUE,6038814,68221
PALMQUIST ELEMENTARY,PALMQUIST ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6038897,73569
PALOMA ELEMENTARY,PALOMA ELEMENTARY,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,6108872,73791
PALOMAR ELEMENTARY,PALOMAR ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037972,68023
PALOMAR HIGH,PALOMAR HIGH,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3732047,68411
PARADISE HILLS ELEMENTARY,PARADISE HILLS ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6040059,68338
PARADISE VALLEY CHARTER SCHOOL-ANNEX,,SAN DIEGO UNIFIED,,,,
PARK IN THE PARK,,SAN DIEGO UNIFIED,,FALSE,,
PARK TERRACE-ANNEX,,SAN DIEGO UNIFIED,,FALSE,,
PARK DALE LANE ELEMENTARY,PARK DALE LANE ELEMENTARY,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE,6095046,68080
PARK VILLAGE ELEMENTARY,PARK VILLAGE ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6111314,68296
PARKVIEW ELEMENTARY,PARKVIEW ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6066971,68023
PARKWAY MIDDLE,PARKWAY MIDDLE,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038558,68197
PATHWAYS ACADEMY CHARTER,PATHWAYS ACADEMY CHARTER,,BONSALL UNIFIED,TRUE,132886,76851
PAUL ECKE-CENTRAL ELEMENTARY,PAUL ECKE-CENTRAL ELEMENTARY,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE,6038145,68080
PAUMA ELEMENTARY,PAUMA ELEMENTARY,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,TRUE,6038962,75614
PENN ELEMENTARY,PENN ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6077317,68338
PEPPER DRIVE ELEMENTARY,PEPPER DRIVE ELEMENTARY,SANTEE,SANTEE,TRUE,6040372,68361
PERKINS K-8,PERKINS K-9,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039929,68338
PERRY ELEMENTARY,PERRY ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6040067,68338
PERSHING MIDDLE,PERSHING MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6061972,68338
PHOENIX HOUSE SAN DIEGO INC.,,PHOENIX HOUSE SAN DIEGO INC,,FALSE,,
PINE VALLEY MIDDLE,PINE VALLEY MIDDLE,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE,127001,68213
PIONEER ELEMENTARY,PIONEER ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6110381,68098
PIONEER PRESCHOOL,,ESCONDIDO UNION,,TRUE,,
PIVOT CHARTER SCHOOL - SAN DIEGO,PIVOT CHARTER SCHOOL - SAN DIEGO,,MOUNTAIN EMPIRE UNIFIED,TRUE,123240,68213
PIVOT CHARTER SCHOOL - SAN DIEGO II,PIVOT CHARTER SCHOOL - SAN DIEGO II,,SAN MARCOS UNIFIED,TRUE,138222,73791
POINSETTIA ELEMENTARY,POINSETTIA ELEMENTARY,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,113498,73551
POINT LOMA HIGH,POINT LOMA HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3735750,68338
POMERADO ELEMENTARY,POMERADO ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6039002,68296
PORTER ELEMENTARY,PORTER ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,108274,68338
