siteid,academicyear,schoolname,districtname,schooltype,nslpstatus,ischarterschool,charterschoolnumber,charterfundingtype,isirc,lowgrade,highgrade,enrollment_k-12,freemealcount_k-12,frpmcount_k-12,enrollment_5-17,freemealcount_5-17,frpmcount_5-17,iscalpadscertified,schooltypegroup,districttype,educationaloptiontype,districtcode,schoolcode
2349,2015-2016,MERIDIAN ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,659,516,573,647,512,567,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6037717
2677,2015-2016,"NONPUBLIC, NONSECTARIAN SCHOOLS",CORONADO UNIFIED,,None,,,,,,,5,0,0,4,0,0,TRUE,,Unified School District,,68031,1
4065,2015-2016,VALLEY HIGH (CONTINUATION),ESCONDIDO UNION HIGH,Continuation High Schools,None,FALSE,,,FALSE,9,12,319,231,260,229,167,185,TRUE,Other,High School District,CONTINUATION SCHOOL,68106,3732054
1965,2015-2016,LA MESA ARTS ACADEMY,LA MESA-SPRING VALLEY,Elementary Schools (Public),None,FALSE,,,FALSE,4,8,1082,365,489,1082,365,489,TRUE,Elementary School,Elementary School District,TRADITIONAL,68197,132290
2465,2015-2016,MONTEREY RIDGE ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,5,1038,44,55,1019,44,55,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,111187
161,2015-2016,AVIARA OAKS MIDDLE,CARLSBAD UNIFIED,Intermediate/Middle Schools (Public),None,FALSE,,,FALSE,6,8,1132,125,160,1132,125,160,TRUE,Middle School,Unified School District,TRADITIONAL,73551,6118137
1541,2015-2016,HIGH TECH MIDDLE NORTH COUNTY,SBC - HIGH TECH HIGH,Intermediate/Middle Schools (Public),None,TRUE,756,DIRECTLY FUNDED,FALSE,6,8,334,113,165,334,113,165,TRUE,Middle School,Statewide Benefit Charter,TRADITIONAL,76471,119271
2105,2016-2017,LIBERTY ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,,,,FALSE,K,6,739,80,125,739,80,125,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,105957
509,2016-2017,CARMEL DEL MAR ELEMENTARY,DEL MAR UNION ELEMENTARY,Elementary Schools (Public),,,,,FALSE,K,6,523,23,29,523,23,29,TRUE,Elementary School,Elementary School District,TRADITIONAL,68056,6110696
2709,2016-2017,"NONPUBLIC, NONSECTARIAN SCHOOLS",GROSSMONT UNION HIGH,,,,,,,,,75,8,19,51,7,16,TRUE,,High School District,,68130,1
3861,2015-2016,TAYLION SAN DIEGO ACADEMY,VALLECITOS ELEMENTARY,Elementary Schools (Public),None,TRUE,1559,DIRECTLY FUNDED,TRUE,K,12,75,31,48,67,27,41,TRUE,Elementary School,Elementary School District,TRADITIONAL,68437,128470
1045,2014-2015,EJE ELEMENTARY ACADEMY CHARTER,CAJON VALLEY UNION,Elementary Schools (Public),,TRUE,683,DIRECTLY FUNDED,TRUE,K,5,513,335,425,498,326,412,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,108563
1797,2014-2015,JUAREZ-LINCOLN ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,566,322,422,565,321,421,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6069090
