sitename1,sitename2,sitename3,sponsorname1,sponsorname2,sponsorname3
SAN DIEGO COOPERATIVE CHARTER,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SAN DIEGO COOPERATIVE CHARTER SCHOOL 2,,,SAN DIEGO UNIFIED,,
SAN DIEGO EARLY/MIDDLE COLLEGE,,,SAN DIEGO UNIFIED,,
SAN DIEGO GLOBAL VISION ACADEMY,,,SAN DIEGO UNIFIED,,
SAN DIEGO GLOBAL VISION ACADEMY MIDDLE,,,SAN DIEGO UNIFIED,,
SAN DIEGO INTERNATIONAL STUDIES,,,SAN DIEGO UNIFIED,,
SAN DIEGO METRO CAREER AND TECH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SAN DIEGO MVP ARTS,,,SAN DIEGO UNIFIED,,
SAN DIEGO SCIENCE AND TECHNOLOGY,,,SAN DIEGO UNIFIED,,
SAN DIEGO SCPA,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SAN DIEGO YOUTH AQUATIC CENTER,,,,SAN DIEGO IMPERIAL COUNCIL BSA,
SAN DIEGUITO HIGH ACADEMY,,,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,
SAN ELIJO ELEMENTARY,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
SAN ELIJO MIDDLE,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
SAN JOSE VALLEY CONTINUATION HIGH,,,WARNER UNIFIED,,
SAN LUIS REY ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
SAN MARCOS ELEMENTARY,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
SAN MARCOS HIGH,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
SAN MARCOS MIDDLE,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
SAN MIGUEL ELEMENTARY,,,LEMON GROVE,LEMON GROVE,
SAN ONOFRE ELEMENTARY,,,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,
SAN PASQUAL ACADEMY,SAN PASQUAL ACADEMY,,SAN DIEGO COUNTY OFFICE OF EDUCATION,NEW ALTERNATIVES,
SAN PASQUAL HIGH,,,ESCONDIDO UNION HIGH,ESCONDIDO UNION HIGH,
SAN PASQUAL UNION ELEMENTARY,,,SAN PASQUAL UNION ELEMENTARY,SAN PASQUAL UNION ELEMENTARY,
SAN YSIDRO HIGH,,,SWEETWATER UNION HIGH,,
SAN YSIDRO MIDDLE,,,SAN YSIDRO ELEMENTARY,SAN YSIDRO ELEMENTARY,
SANDBURG ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SANTA MARGARITA ACADEMY,,,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,
SANTA MARGARITA ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
SANTANA HIGH,,,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,
SANTEE ALTERNATIVE,,,SANTEE,,
SANTEE SUCCESS PROGRAM,,,SANTEE,SANTEE,
SCHOOL FOR ENTREPRENEURSHIP AND TECHNOLOGY,SCHOOL FOR ENTREPRENEURSHIP AND TECHNOLOGY,,SAN DIEGO UNIFIED,COLEMAN TECH CHARTER HIGH SCHOOL,
"SCIENCE, TECHNOLOGY, ENGINEERING, ARTS, AND MATH ACADEMY AT LA P","SCIENCE, TECHNOLOGY, ENGINEERING, ARTS, AND MATH ACADEMY AT LA PRESA",,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
SCRIPPS ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SCRIPPS RANCH HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SD GLOBAL VISION ACADEMY,,,SAN DIEGO UNIFIED,,
SDCOE SUMMIT,,,,OCEANSIDE UNIFIED,
SECOND CHANCE INDEPENDENT STUDY,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
SEQUOIA ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SERRA HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SESSIONS ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SEVICK SPECIAL EDUCATION,,,,CAJON VALLEY UNION,
SHADOW HILLS ELEMENTARY,,,ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,
SHERMAN ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SHOAL CREEK ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
SIATECH,,,VISTA UNIFIED,,
SILVER GATE ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SILVER STRAND ELEMENTARY,,,CORONADO UNIFIED,CORONADO UNIFIED,
SILVER WING ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
SKYLINE ELEMENTARY,,,SOLANA BEACH ELEMENTARY,SOLANA BEACH ELEMENTARY,
SMYTHE ELEMENTARY,,,SAN YSIDRO ELEMENTARY,SAN YSIDRO ELEMENTARY,
SOLANA HIGHLANDS ELEMENTARY,,,SOLANA BEACH ELEMENTARY,SOLANA BEACH ELEMENTARY,
SOLANA PACIFIC ELEMENTARY,,,SOLANA BEACH ELEMENTARY,SOLANA BEACH ELEMENTARY,
SOLANA RANCH ELEMENTARY,,,SOLANA BEACH ELEMENTARY,SOLANA BEACH ELEMENTARY,
SOLANA SANTA FE ELEMENTARY,,,SOLANA BEACH ELEMENTARY,SOLANA BEACH ELEMENTARY,
SOLANA VISTA ELEMENTARY,,,SOLANA BEACH ELEMENTARY,SOLANA BEACH ELEMENTARY,
SORRENTO MESA LC - AUDEO CHARTER -ANNEX,,,,SAN DIEGO UNIFIED,
SOUTH BAY COUNTY BLENDED COMM SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
SOUTH OCEANSIDE ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
SOUTHLAND BLENDED COMM SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
SOUTHWEST MIDDLE,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
SOUTHWEST SENIOR HIGH,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
SPENCER VALLEY ELEMENTARY,,,SPENCER VALLEY ELEMENTARY,,
SPORTS SCIENCE ACADEMY,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
SPRECKELS ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SPRING VALLEY ACADEMY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
SPRING VALLEY MIDDLE,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
SPRINGALL ACADEMY,,,,SAN DIEGO UNIFIED,
ST. JOHN OF THE CROSS,,,,GROSSMONT UNION HIGH,
ST. MARTIN OF TOURS ACADEMY,,,,LA MESA-SPRING VALLEY,
STANDLEY MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
STEELE CANYON HIGH,,,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,
STEPHEN W. HAWKING CHARTER,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
STEPS,,,,SAN DIEGO UNIFIED,
STONE RANCH ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
STUART MESA ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
SUNDANCE ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
SUNNYSIDE ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
SUNNYSLOPE ELEMENTARY,,,SOUTH BAY UNION,SOUTH BAY UNION,
SUNSET ELEMENTARY,,,SAN YSIDRO ELEMENTARY,SAN YSIDRO ELEMENTARY,
SUNSET HIGH (CONTINUATION),,,SAN DIEGUITO UNION HIGH,,
SUNSET HILLS ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
SUNSET VIEW ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SWEETWATER COMMUNITY DAY,,,SWEETWATER UNION HIGH,,
SWEETWATER HIGH,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
SWEETWATER SECONDARY,,,SBE - SWEETWATER SECONDARY,,
SWEETWATER SPRINGS ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
SYCAMORE CANYON ELEMENTARY,,,SANTEE,SANTEE,
SYCAMORE RIDGE,,,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,
TAFT MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
TAYLION SAN DIEGO ACADEMY,,,VALLECITOS ELEMENTARY,,
TEEN OPTIONS INDEPENDENT STUDY,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
TEMPLE HEIGHTS ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
TEOFILO MENDOZA,,,SOUTH BAY UNION,SOUTH BAY UNION,
THE INSTITUTE FOR EFFECTIVE EDUCATION (TIEE SITE 1) - CHILDREN'S,,,,SAN DIEGO UNIFIED,
THE INSTITUTE FOR EFFECTIVE EDUCATION (TIEE SITE 2) - URBAN SKIL,,,,SAN DIEGO UNIFIED,
THE INSTITUTE FOR EFFECTIVE EDUCATION (TIEE SITE 3) - COOK EDUCA,,,,SAN DIEGO UNIFIED,
THE O'FARRELL CHARTER,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
THURGOOD MARSHALL COMMUNITY SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
TIERRA BONITA ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
TIERRA DEL SOL MIDDLE,,,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,
TIERRASANTA CHARTER-ANNEX,,,,SAN DIEGO UNIFIED,
TIERRASANTA ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
TIFFANY (BURTON C.) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
TOLER ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
TOP BLENDED,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
TORREY HILLS,,,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,
TORREY PINES ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
TORREY PINES HIGH,,,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,
TRACE,TRACE CENTER CITY- ANNEX,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
TURTLEBACK ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
TWAIN HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
TWIN OAKS ELEMENTARY,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
TWIN OAKS HIGH,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
TWIN PEAKS MIDDLE,,,POWAY UNIFIED,POWAY UNIFIED,
UNIVERSITY CITY HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
UNIVERSITY COMMUNITY SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
UNIVERSITY TOWN CENTER-ANNEX,,,,SAN DIEGO UNIFIED,
URBAN DISCOVERY ACADEMY CHARTER,URBAN SKILLS CENTER,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
VALENCIA PARK ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
VALHALLA HIGH,,,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,
VALLE LINDO ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
VALLECITOS ELEMENTARY,,,VALLECITOS ELEMENTARY,VALLECITOS ELEMENTARY,
VALLECITOS ELEMENTARY SCHOOL DISTRICT,,,,FALLBROOK UNION HIGH,
VALLEY CENTER HIGH,,,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,
VALLEY CENTER MIDDLE,,,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,
VALLEY CENTER PREP,,,VALLEY CENTER-PAUMA UNIFIED,,
VALLEY CENTER PRIMARY,,,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,
VALLEY ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
VALLEY HIGH (CONTINUATION),,,ESCONDIDO UNION HIGH,ESCONDIDO UNION HIGH,
VALLEY MIDDLE,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
VALLEY VISTA ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
VETERANS ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
VICKING CENTER,,,,GROSSMONT UNION HIGH,
VICTORIA BLENDED COMMUNITY SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
VISTA ACADEMY OF VISUAL AND PERFORMING ARTS,,,VISTA UNIFIED,VISTA UNIFIED,
VISTA ADULT TRANSITION CENTER,,,VISTA UNIFIED,VISTA UNIFIED,
VISTA DEL MAR,,,SAN YSIDRO ELEMENTARY,SAN YSIDRO ELEMENTARY,
VISTA GRANDE ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
VISTA GRANDE ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
VISTA HIGH,,,VISTA UNIFIED,VISTA UNIFIED,
VISTA INNOVATION AND DESIGN ACADEMY,,,VISTA UNIFIED,VISTA UNIFIED,
VISTA LA MESA ACADEMY,,,LEMON GROVE,LEMON GROVE,
"VISTA MAGNET MIDDLE SCHOOL OF TECHNOLOGY, SCIENCE, AND MATH",,,VISTA UNIFIED,VISTA UNIFIED,
VISTA SQUARE ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
VISTA VISIONS ACADEMY,,,VISTA UNIFIED,,
VIVIAN BANKS CHARTER,,,BONSALL UNIFIED,BONSALL UNIFIED,
VIVIAN BANKS CHARTER,,,BONSALL UNIFIED,BONSALL UNION ELEMENTARY,
W. D. HALL ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
WALKER CDC,,,,SAN DIEGO UNIFIED,
WALKER ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
WANGENHEIM MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
WARNER ELEMENTARY,,,WARNER UNIFIED,WARNER UNIFIED,
WARNER JUNIOR/SENIOR HIGH,,,WARNER UNIFIED,,
WASHINGTON ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
WEBSTER ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
WEGEFORTH CDC,,,,SAN DIEGO UNIFIED,
WEGEFORTH ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
WEST HILLS HIGH,,,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,
WESTVIEW HIGH,,,POWAY UNIFIED,POWAY UNIFIED,
WESTWOOD ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
WHITMAN ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
WHITTIER K-12,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
WILLIAM H. FRAZIER ELEMENTARY,,,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,
WILLOW ELEMENTARY,,,SAN YSIDRO ELEMENTARY,SAN YSIDRO ELEMENTARY,
WILLOW GROVE ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
WILSON MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
WINTER GARDENS ELEMENTARY,,,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,
WOLF CANYON ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
WOODLAND PARK MIDDLE,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
WOODMAN-ANNEX,,,,SAN DIEGO UNIFIED,
WORTHINGTON SCHOOL,,,,GROSSMONT UNION HIGH,
YOUTH DAY CENTER,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
ZAMORANO ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
