CountyDesc,FnsReportTypeDesc,FnsReportDate,ProgramCode,ProgramGroupYear,Name,SponsorTypeCode,MealGroupCode,MealTypeCode,SiteQty,DaysServedQty,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,MlsServedFinal,AvgDailyMeals,AvgDailyParticipationQty
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,6,21,1152,0,0,1152,1152,54.8571,539
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,6,21,10195,0,0,10195,10195,485.4762,539
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,University of San Diego Trio Upward Bound,PRIVATENONPROFIT,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,1,6,53,0,0,53,53,8.8333,9
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,University of San Diego Trio Upward Bound,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,1,4,123,0,0,123,123,30.75,31
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,University of San Diego Trio Upward Bound,PRIVATENONPROFIT,SFSP_SUPPER,SFSP_SUPPER_VENDED,1,5,145,0,0,145,145,29,29
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,"Vista, City of",GOVERMENT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,10,641,0,0,641,641,64.1,63
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,"Vista, City of",GOVERMENT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,1,10,784,0,0,784,784,78.4,77
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Salvation Army-San Diego A California Corporation,CAMP,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,1,128,0,0,128,128,128,128
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Salvation Army-San Diego A California Corporation,CAMP,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,2,22,6261,0,0,6261,6261,284.5909,285
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Salvation Army-San Diego A California Corporation,CAMP,SFSP_SUPPER,SFSP_SUPPER_SELFPREP,1,1,128,0,0,128,128,128,128
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,7,31,610,0,0,610,610,19.6774,129
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,7,31,3441,0,0,3441,3441,111,129
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,3,31,129,0,0,129,129,4.1613,92
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,3,31,2751,0,0,2751,2751,88.7419,92
