"county","fnsreportdate","fnssubtype","programcode","programgroupyear","sponsorname","sponsortype","mealgroupcode","mealtypecode","siteqty","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal","mlsservedfinal","avgdailymeals","avgdailypartic","academicyear"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND","PRIVATENONPROFIT","SFSP_SUPPER","SFSP_SUPPER_VENDED",1,5,148,0,0,148,148,29.6,30,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION","CAMP","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,2,63,0,0,63,63,31.5,32,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION","CAMP","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",2,20,6215,0,0,6215,6215,310.75,311,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION","CAMP","SFSP_SUPPER","SFSP_SUPPER_SELFPREP",1,2,63,0,0,63,63,31.5,32,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",6,15,358,0,0,358,358,23.8667,88,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_VENDED",6,15,988,0,0,988,988,65.8667,88,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",1,20,4000,0,0,4000,4000,200,200,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","GOVERMENT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",3,17,1258,0,0,1258,1258,74,74,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","GOVERMENT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",3,17,1394,0,0,1394,1394,82,82,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"LA JOLLA BAND OF LUISENO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",1,2,57,0,0,57,57,28.5,28,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"LA JOLLA BAND OF LUISENO","PRIVATENONPROFIT","SFSP_SNACK_AM","SFSP_SNACK_AM_SELFPREP",1,2,57,0,0,57,57,28.5,28,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"KAREN ORGANIZATION OF SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",1,9,304,0,0,304,304,33.7778,34,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,10,66,0,0,66,66,6.6,7,"2016-2017"
