site_id,sitename,district,is_school,school_code,district_code
1202,TAFT MIDDLE,SAN DIEGO UNIFIED,1,6059711,68338
1203,TAYLION SAN DIEGO ACADEMY,VALLECITOS ELEMENTARY,1,128470,68437
1204,TEEN OPTIONS INDEPENDENT STUDY,,0,,
1205,TEEN OUTREACH NORTH,,0,,
1206,TEMPLE HEIGHTS ELEMENTARY,VISTA UNIFIED,1,100925,68452
1207,TEOFILO MENDOZA,SOUTH BAY UNION,1,6116008,68395
1208,THE CLUB - LA MESA TEEN CENTER,,0,,
1209,THE HEIGHTS CHARTER,DEHESA ELEMENTARY,1,127118,68049
1210,THE INSTITUTE FOR EFFECTIVE EDUCATION (TIEE SITE 1) - CHILDREN'S,,1,,
1211,THE INSTITUTE FOR EFFECTIVE EDUCATION (TIEE SITE 2) - URBAN SKIL,,1,,
1212,THE INSTITUTE FOR EFFECTIVE EDUCATION (TIEE SITE 3) - COOK EDUCA,,1,,
1213,THE LEARNING CHOICE ACADEMY - EAST COUNTY,GROSSMONT UNION HIGH,1,,
1214,THE O'FARRELL CHARTER,SAN DIEGO UNIFIED,1,6061964,68338
1215,THRIVE PUBLIC,SBE - THRIVE PUBLIC,1,131193,76901
1216,THRIVE PUBLIC SCHOOLS - COMSTOCK CAMPUS - ANNEX,,1,,
1217,THRIVE PUBLIC SCHOOLS - HIGH SCHOOL,,1,,
1218,THRIVE PUBLIC SCHOOLS - JUANITA CAMPUS-ANNEX,,1,,
1219,THRIVE PUBLIC SCHOOLS - KROC CAMPUS-ANNEX,,1,,
1220,THURGOOD MARSHALL COMMUNITY SCHOOL,,1,,
1221,TIERRA BONITA ELEMENTARY,POWAY UNIFIED,1,6095053,68296
1222,TIERRA DEL SOL MIDDLE,LAKESIDE UNION ELEMENTARY,1,6085047,68189
1223,TIERRASANTA CHARTER-ANNEX,,0,,
1224,TIERRASANTA ELEMENTARY,SAN DIEGO UNIFIED,1,6089056,68338
1225,TIERRASANTA PARK & REC,,0,,
1226,TIFFANY (BURTON C.) ELEMENTARY,CHULA VISTA ELEMENTARY,1,6095020,68023
1227,TOLER ELEMENTARY,SAN DIEGO UNIFIED,1,6040224,68338
1228,TOP BLENDED,,0,,
1229,TORREY HILLS,DEL MAR UNION ELEMENTARY,1,6120596,68056
1230,TORREY LEARNING CENTER,,,,
1231,TORREY PINES ELEMENTARY,SAN DIEGO UNIFIED,1,6040232,68338
1232,TORREY PINES HIGH,SAN DIEGUITO UNION HIGH,1,3730033,68346
1233,TRACE,SAN DIEGO UNIFIED,1,3731056,68338
1234,TRUST BLENDED LEARNING,LA MESA-SPRING VALLEY,1,,
1235,TURTLEBACK ELEMENTARY,POWAY UNIFIED,1,6109326,68296
1236,TWAIN HIGH,SAN DIEGO UNIFIED,1,3730231,68338
1237,TWIN OAKS ELEMENTARY,SAN MARCOS UNIFIED,1,6115349,73791
1238,TWIN OAKS HIGH,SAN MARCOS UNIFIED,1,3730215,73791
1239,TWIN PEAKS MIDDLE,POWAY UNIFIED,1,6070866,68296
1240,UMI LEARNING CENTER,,0,,
1241,UNIVERSITY CITY HIGH,SAN DIEGO UNIFIED,1,3730314,68338
1242,UNIVERSITY COMMUNITY SCHOOL,,1,,
1243,UNIVERSITY OF SAN DIEGO STUDENT SUPPORT SERVICES BRIDGE,,0,,
1244,UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND,,0,,
1245,UNIVERSITY PREP,DEHESA ELEMENTARY,1,138313,68049
1246,UNIVERSITY TOWN CENTER-ANNEX,,0,,
1247,UPWARD BOUND #1,,0,,
1248,UPWARD BOUND #2,,0,,
1249,UPWARD BOUND MATH SCIENCE #1,,0,,
1250,UPWARD BOUND MATH SCIENCE #2,,0,,
1251,URBAN DISCOVERY ACADEMY CHARTER,SAN DIEGO UNIFIED,1,118000,68338
1252,URBAN LIFE MINISTRIES,,0,,
1253,URBAN SKILLS CENTER,,0,,
1254,VALENCIA PARK ELEMENTARY,SAN DIEGO UNIFIED,1,6040257,68338
1255,VALENCIA PARK/MALCOLM X BRANCH LIBRARY,,0,,
1256,VALHALLA HIGH,GROSSMONT UNION HIGH,1,3730066,68130
1257,VALIANT ACADEMY DESD,DEHESA ELEMENTARY,1,131169,68049
1258,VALIANT ACADEMY OF SOUTHERN CALIFORNIA,DEHESA ELEMENTARY,1,131169,68049
1259,VALLE LINDO ELEMENTARY,CHULA VISTA ELEMENTARY,1,6038020,68023
1260,VALLECITOS ELEMENTARY,FALLBROOK UNION HIGH,1,6040562,68437
1261,VALLEY CENTER BRANCH LIBRARY,,0,,
1262,VALLEY CENTER ELEMENTARY,VALLEY CENTER-PAUMA UNIFIED,1,6112494,75614
1263,VALLEY CENTER ELEMENTARY LOWER,VALLEY CENTER-PAUMA UNIFIED,1,6040570,75614
1264,VALLEY CENTER HIGH,VALLEY CENTER-PAUMA UNIFIED,1,3731114,75614
1265,VALLEY CENTER MIDDLE,VALLEY CENTER-PAUMA UNIFIED,1,6093272,75614
1266,VALLEY CENTER PREP,VALLEY CENTER-PAUMA UNIFIED,1,3731601,75614
1267,VALLEY CENTER PRIMARY,VALLEY CENTER-PAUMA UNIFIED,1,6106124,75614
1268,VALLEY CENTER-PAUMA ADULT,VALLEY CENTER-PAUMA UNIFIED,1,,
1269,VALLEY ELEMENTARY,POWAY UNIFIED,1,6039010,68296
1270,VALLEY HIGH (CONTINUATION),ESCONDIDO UNION HIGH,1,3732054,68106
1271,VALLEY MIDDLE,CARLSBAD UNIFIED,1,6037816,73551
1272,VALLEY VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,1,6038038,68023
1273,VCC PROJECT REACH LIBBY LAKE,,0,,
1274,VETERANS ELEMENTARY,CHULA VISTA ELEMENTARY,1,108662,68023
1275,VICKING CENTER,,0,,
1276,VICTORIA BLENDED COMMUNITY SCHOOL,,1,,
1277,VICTORIA COMMUNITY SCHOOL,,1,,
1278,VICTORY OUTREACH,,0,,
1279,VIEJAS RECREATION CENTER,,0,,
1280,VILLAGE AT SERRA MESA,,0,,
1281,VILLAGE VIEW APARTMENTS,,0,,
1282,VIP VILLAGE PRESCHOOL,,0,,
1283,VISTA ACADEMY OF VISUAL AND PERFORMING ARTS,VISTA UNIFIED,1,6040653,68452
1284,VISTA ADULT TRANSITION CENTER,VISTA UNIFIED,1,3730207,68452
1285,VISTA BRANCH LIBRARY,,0,,
1286,VISTA DEL MAR,SAN YSIDRO ELEMENTARY,1,125518,68379
1287,VISTA GRANDE ELEMENTARY,SAN DIEGO UNIFIED,1,6099089,68338
1288,VISTA GRANDE ELEMENTARY,CAJON VALLEY UNION,1,6101794,67991
1289,VISTA GRANDE SUMMER,,0,,
1290,VISTA HIGH,VISTA UNIFIED,1,3738705,68452
1291,VISTA INNOVATION AND DESIGN ACADEMY,VISTA UNIFIED,1,6059810,68452
1292,VISTA LA MESA ACADEMY,LEMON GROVE,1,6038673,68205
1293,VISTA LA MESA CHRISTIAN CHURCH,,0,,
1294,"VISTA MAGNET MIDDLE SCHOOL OF TECHNOLOGY, SCIENCE, AND MATH",VISTA UNIFIED,1,114637,68452
1295,VISTA SPRINGS CHARTER,SBE - VISTA SPRINGS CHARTER,1,137323,77156
1296,VISTA SQUARE ELEMENTARY,CHULA VISTA ELEMENTARY,1,6038046,68023
1297,VISTA TERRACE HILLS,,0,,
1298,VISTA VISIONS ACADEMY,VISTA UNIFIED,1,126300,68452
1299,VIVIAN BANKS CHARTER,BONSALL UNIFIED,1,6113468,76851
1300,VIVIAN BANKS CHARTER SCHOOL,,0,,
1301,W. D. HALL ELEMENTARY,CAJON VALLEY UNION,1,6037741,67991
1302,WALKER CDC,,0,,
1303,WALKER ELEMENTARY,SAN DIEGO UNIFIED,1,6089064,68338
1304,WANGENHEIM MIDDLE,SAN DIEGO UNIFIED,1,6097844,68338
1305,WARNER ELEMENTARY,WARNER UNIFIED,1,6040661,75416
1306,WARNER JUNIOR/SENIOR HIGH,WARNER UNIFIED,1,3730975,75416
1307,WASHINGTON ELEMENTARY,SAN DIEGO UNIFIED,1,6040265,68338
1308,WASHINGTON PARK CENTER,,0,,
1309,WATERFRONT,,0,,
1310,WEBSTER ELEMENTARY,SAN DIEGO UNIFIED,1,6040273,68338
1311,WEGEFORTH CDC,,0,,
1312,WEGEFORTH ELEMENTARY,SAN DIEGO UNIFIED,1,6040281,68338
1313,WEST HILLS HIGH,GROSSMONT UNION HIGH,1,3730702,68130
1314,WEST VIEW EARLY LEARNING CENTER,,0,,
1315,WESTSIDE PARK,,0,,
1316,WESTVIEW HIGH,POWAY UNIFIED,1,3731528,68296
1317,WESTWOOD ELEMENTARY,POWAY UNIFIED,1,6070858,68296
1318,WHITMAN ELEMENTARY,SAN DIEGO UNIFIED,1,6040307,68338
1319,WHITTIER K-12,SAN DIEGO UNIFIED,1,3730363,68338
1320,WIC NATIONAL CITY,,0,,
