siteid,ClaimDate,ProgramGroupYear,SiteName,Name,sponsor_id,MealGroupCode,MealTypeCode,DaysServedQty,MlsServedFree
4577,2018-07-01,2018,CENTRAL BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,21,97
4581,2018-07-01,2018,CHOLLAS VIEW UNITED METHODIST CHURCH,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,213
4581,2018-07-01,2018,CHOLLAS VIEW UNITED METHODIST CHURCH,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,21,167
4585,2018-07-01,2018,CHULA VISTA PRESBYTERIAN PRESCHOOL,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,104
4585,2018-07-01,2018,CHULA VISTA PRESBYTERIAN PRESCHOOL,HEAVEN'S WINDOWS,204,SFSP_SNACK_AM,SFSP_SNACK_AM_SELFPREP,9,268
4593,2018-07-01,2018,CITY HEIGHTS BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,21,149
4601,2018-07-01,2018,COLLEGE-ROLANDO BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,21,130
4605,2018-07-01,2018,COMMUNITY CONGREGATIONAL PRESCHOOL,HEAVEN'S WINDOWS,204,SFSP_SNACK_AM,SFSP_SNACK_AM_SELFPREP,9,165
4605,2018-07-01,2018,COMMUNITY CONGREGATIONAL PRESCHOOL,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,21,80
4609,2018-07-01,2018,CORONADO TERRACE APARTMENTS,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,44
4613,2018-07-01,2018,EAST COUNTY COMMUNITY CENTER SPRING VALLEY,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,58
4633,2018-07-01,2018,LAKESIDE TEEN CENTER,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,21,229
4637,2018-07-01,2018,LINDA VISTA BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,21,211
4641,2018-07-01,2018,LOGAN HEIGHTS BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,21,194
4645,2018-07-01,2018,MAPLEWOOD APARTMENTS,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,98
4645,2018-07-01,2018,MAPLEWOOD APARTMENTS,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,21,58
4649,2018-07-01,2018,MEMORIAL RECREATION CENTER,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,21,320
4649,2018-07-01,2018,MEMORIAL RECREATION CENTER,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,21,638
4653,2018-07-01,2018,METRO AREA ADVISORY COMMITTEE (DIFFERENCT FROM HONEY BEE),HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,351
